date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:29	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
12:31:29	8171/8171	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2015:31:30%20GMT	https://www.tarjetas.cool/modelos/cumple/merlina/	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/index.html	(from )
12:31:29	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/invitacionMerlina/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:30	88585/88585	---MCZ	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/invitacionMerlina/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:30	10771/10771	---M-Z	200	added ('OK')	text/css	etag:%222a13-6443dc6c-fafb7ab3e77dae81;gz%22	https://www.tarjetas.cool/modelos/cumple/merlina/css/styles.css?v=19	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/css/stylesce31.css	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:30	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:30	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:31	49166/49166	---M--	200	added ('OK')	image/png	etag:%22c00e-6443dc6d-806374a349398f27;;;%22	https://www.tarjetas.cool/modelos/cumple/merlina/img/1.png	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/img/1.png	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:32	655454/655454	---M--	200	added ('OK')	image/gif	etag:%22a005e-6443dc6e-d4259d12e6c2b889;;;%22	https://www.tarjetas.cool/modelos/cumple/merlina/img/logo_animado.gif	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:32	53842/53842	---M--	200	added ('OK')	image/png	etag:%22d252-6443dc6d-fc3c1cc4fc3010d6;;;%22	https://www.tarjetas.cool/modelos/cumple/merlina/img/foto1.png	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/img/foto1.png	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:32	20464/20464	---M--	200	added ('OK')	image/png	etag:%224ff0-6443dc6d-711df8486a723b62;;;%22	https://www.tarjetas.cool/modelos/cumple/merlina/img/cinta.png	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/img/cinta.png	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:32	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/invitacionMerlina/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:32	1724/1724	---M-Z	200	added ('OK')	application/x-javascript	etag:%226bc-6443dc6d-fe7d15a5149563b7;gz%22	https://www.tarjetas.cool/modelos/cumple/merlina/js/card.js?v=17	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/js/card1c07.js	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:33	112440/112440	---M--	200	added ('OK')	font/woff2	etag:W/%221b738-OihLBhh3Hynajra+kA6ZQ5JT3OA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionMerlina/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
12:31:33	872197/872197	---M--	200	added ('OK')	audio/mpeg	etag:%22d4f05-6443dc6e-6c53b4ec9228f1e9;;;%22	https://www.tarjetas.cool/modelos/cumple/merlina/sounds/audio.mp3	C:/Mis%20lugares%20Web/invitacionMerlina/www.tarjetas.cool/modelos/cumple/merlina/sounds/audio.mp3	(from https://www.tarjetas.cool/modelos/cumple/merlina/)
12:31:33	150592/150592	---M--	200	added ('OK')	font/woff	etag:W/%2224c40-p35qLzNfP8tPKTB5SQfIjtfefKE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-icons.woff?8d200481aa7f02a2d63a331fc782cfaf	C:/Mis%20lugares%20Web/invitacionMerlina/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/fonts/bootstrap-iconsd862.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css)
